species	gb	bold
Gabrius exspectatus	0	1
Syntomium malkini	1	2
Scaphidium quadrimaculatum	34	37
Stenus koebelei	0	1
Alfocalea montana	0	6
Coryphiomorphus hyperboreus	0	0
Tomoglossa ecora	0	0
Bohemiellina flavipennis	0	1
Sepedophilus immaculatus	11	12
Dochmonota rudiventris	0	6
Gyrophaena neonana	0	0
Oxypoda longicarinata	2	4
Arrhenopeplus tesserula	2	7
Pentanota meuseli	1	1
Aloconota planifrons	0	6
Stenus dissentiens	0	0
Bryoporus testaceus	0	0
Scaphidium piceum	0	1
Astenus longiusculus	0	1
Gyrophaena nanoides	0	3
Euconnus gaudens	0	0
Reichenbachia rubricunda	0	0
Dropephylla clavigera	0	0
Quedius vexans	1	1
Paranopleta inhabilis	1	1
Pselaphaulax dresdensis	0	0
Gabrius laelaps	0	1
Phloeopora nitidiventris	0	0
Megarthrus nitidulus	2	2
Hypopycna rufula	5	6
Quedius sublimbatus	4	9
Gnypeta carbonaria	1	2
Carpelimus obesus	15	17
Medon mcleodi	0	0
Stenus cubensis	0	0
Toxidium compressum	0	0
Phlaeopterus hatchi	0	0
Erichsonius crescenti	0	0
Atheta acutangula	0	0
Gyrophaena egena	0	0
Tachinus minimus	0	3
Atheta oblita	0	8
Lordithon trimaculatus	3	4
Oxypoda pratensicola	0	0
Gyrophaena involuta	0	2
Gyrophaena antennalis	0	2
Lordithon speciosus	2	2
Xantholinus distans	4	0
Stenus frigidus	0	0
Tachinus subterraneus	7	14
Lathrobium fauveli	0	13
Giulianium alaskanum	0	0
Thinobius crinifer	0	0
Tachinus fimbriatus	6	23
Boreostiba websteri	1	2
Cafius aguayoi	0	0
Stenus boops	34	36
Stenus kongsbergensis	0	0
Stenus argus	3	6
Liogluta aloconotoides	0	0
Philonthus fuscus	0	0
Astenus immaculatus	0	0
Atheta pecki	0	0
Micralymma marinum	2	3
Micropeplus laticollis	0	10
Phytosus spinifer	2	2
Eumicrota socia	0	0
Gabrius lysippus	0	5
Stenus confusus	0	0
Mocyta clientula	0	0
Gyrophaena obsoleta	0	0
Oligota muensteri	0	0
Oxypoda yukonensis	1	3
Myllaena hyperborea	4	4
Leptusa elegans	0	1
Stenus caseyi	0	2
Stenus sphaerops	0	0
Atheta annexa	0	30
Liogluta micans	5	6
